unics_id,full_name
1216030,Jacob KLEIN
1210023,Frank Klaus Glorius
1214205,Luca Benini
1209170,Maria Goreti Ferreira Sales
1212170,Seppo Yla-Herttuala
1209810,Thomas Marie Michel Lecuit
1215872,Ian David Hickson
1213845,Mandayam Anandanpillai Srinivasan
1209148,Nina Morgner
1213768,Martinus Adela Maria Gijs
1213022,Giovanni Federico
1209518,Albertus Dominicus Marcellinus Erasmus OSTERHAUS
1212350,Kirsten Therese Campbell
1215133,Tanja Stadler
1209111,Jasper VAN THOR
1212948,Karina Elizabeth De Visser
1210196,Cathryn Tonne
1217265,Igor Garcia Irastorza
1217274,Deniz Kirik
1211744,Volker Springel
1210973,Nicole Grobert
1215434,Jeroen Johannes Lambertus Maria Cornelissen
1210662,Cristiano Ciuti
1210364,Ron Naaman
1216860,Joachim Spatz
1215006,Luc VAN GOOL
1217150,Katrin Wendland
1214455,Dmitri Rusakov
1214282,Achim Müller
1211854,Marguérite Christina Maria Corporaal
1216533,Neil HUNT
1213756,Willem F.H. Adelaar
1217067,Nello Cristianini
1209248,Carlo Sirtori
1211941,Andrzej Jerzy Buras
1214234,Liberato Manna
1209657,Daniel López Serrano
1216218,Carl Christian Holger Petersen
1212801,Nicolas Franciscus Ramsey
1216037,Marat Yusupov
1215178,Antonella Bogoni
1212734,Olivier Mathieu
1215519,Andrew WILSON
1214092,Mark Pagel
1213535,Sara Elisabet Snogerup Linse
1214398,Vladislav Verkhusha
1211305,Oleg Pikhurko
1213936,Peter Rehling
1215369,Maja Banks-Köhn
1216995,Anna Alberni Jorda
1214622,Lauri Aaltonen
1211815,Nicolas Régis Boulant
1216801,Xavier Ribas Salamana
1211328,Maud Boyet
1210991,Francesca Cacucci
1211577,Donald Michael Hilvert
1210550,Antoine Guy Bernard Jerusalem
1214997,Oliver Wurl
1217565,Jean-Marc Robin
1212216,Rebecca Jane Miriam Goss
1212724,David Stuckler
1209483,Andre Geim
1209969,Bart Leo Loeys
1216643,Adamantios Ioannis Gafos
1215407,Jurriaan Ton
1209563,Holger Dr. Schönherr
1209294,Brigitta Stockinger
1213987,Ananya Jahanara Kabir
1211368,Lars Gerard Hein
1211321,Anna Marmodoro
1213291,Victoria Reyes García
1210545,Mathew Diamond
1214385,Umar Ryad
1211772,John Leo Quinn
1212387,Edvard Ingjald Moser
1214247,Igor Pruenster
1217582,Martin James Paterson
1213314,Christiaan Innocentius DE ZEEUW
1213191,Fernando Ariel Broner
1217130,Graeme Barker
1209854,Michael Kramer
1212938,F Xavier Vives Torrents
1214829,Philippe Jacques Antoine André
1215821,Marina Cavazzana-Calvo
1217118,Jonathan Bennett
1209567,Sam Julius Van Schaik
1209801,Christian Serre
1212302,Robert Benton Metcalf
1209249,Nils David Engblom
1217280,Dries Van Thourhout
1210748,Steffen Martin Fritz
1215773,Christopher Hann
1212661,Sabrina Corbellini
1209442,Jorunn Indra Berit Bos
1211499,May-Britt Moser
1213308,Josef Sivic
1210109,Jens Stougaard Jensen
1212143,Frederic Bournaud
1212275,Xavier Trepat Guixer
1215113,Guido Grosse
1211166,Hannes Tapani Lohi
1214392,Vadim Cheianov
1215196,Steven Peter Armes
1209923,Klaus Adam
1213421,Valerie O'donnell
1213123,Ana Cristina Alvarez Caiano Da Silva Santos
1213444,John Mylopoulos
1214143,Charles Baroud
1209144,Jennifer Irene Keiser
1217145,Avraham Albert Levy
1210123,Philip Eaton
1210929,Maria Rescigno
1215858,Vania Broccoli
1210125,Peter Kohl
1209815,Tomas Morosinotto
1212717,Nicholas James Enfield
1214059,Daniele Faccio
1217375,Heli Maarit Jantunen
1215786,Matthias Werner Hentze
1217556,Kirsten Hastrup
1209323,Toby Gee
1210564,Francesc Xavier Serra Casals
1216176,Stefano Ceri
1217045,Michele De Palma
1212296,Yael Grosjean
1215813,David Fritz Eryk Wendland
1209217,Antje Boetius
1214009,Efstratios Pistikopoulos
1217269,Christian Körner
1217460,Marta Zofia KWIATKOWSKA
1214605,Michael Wagner
1215024,Hans Volker Hess
1216493,Markus Siegel
1217066,William Gaver
1214410,Roland Speicher
1217120,Marko Juhani Terviö
1209560,Adam Lange
1213636,Viola Vogel
1216632,Silke Robatzek
1216992,Kristian Kristiansen
1214302,Montserrat Calleja Gomez
1214555,Sean O Riain
1213401,Patrick Thomas Eugster
1211337,Bruce Kapferer
1210934,Dario Farina
1211555,Lars Jansen
1211614,Linda Partridge
1217256,Johannes Albert Foekens
1212092,Lloyd Nicholas Trefethen
1211123,László Lovász
1213245,Giuseppe Longobardi
1215849,Antonio Alfredo Coelho Jacinto
1214738,Emma Hornby
1216040,Roger Thomas Webb
1214771,Ian Jonathan Grainger
1214106,Ewa Kamila Paluch
1215525,Dag Ake Ulf Landegren
1216669,Jose Henrique VEIGA FERNANDES
1214454,Christos-Xenofon Dimitropoulos
1209974,Huibert Mansvelder
1214807,Athanassios Dimitrios (Thanos) Halazonetis
1209552,Hergen Spits
1216166,Pablo Luis Artal Soriano
1209195,Aimee Morgans
1209807,Poul Nissen
1214735,Gregory Stephen Xavier Edward Jefferis
1216931,Ville Pulkki
1212196,Tom Dedeurwaerdere
1213680,Jean-Claude Weill
1213623,Werner Rodejohann
1209869,Miguel COSTAS SALGUEIRO
1212105,Felice Cervone
1212548,Christian Robert Lange
1210583,Martin Schroder
1209155,Anna Cabré
1216884,Pierre-Louis Tharaux
1210818,Kristian Skrede Gleditsch
1213530,Pier Paolo Di Fiore
1212752,Malcolm Levitt
1213826,Manuel Gonzalez Guerrero
1214822,Christine Britch
1215066,Ellen Nollen
1215751,Ulrike Muessig
1212096,Steven Patrick Nolan
1215016,Saket Saurabh
1214206,Niels Anne Taatgen
1211707,Stefan Bouzarovski
1209095,Gavin James Collins
1216997,Manfred Lindau
1213706,Klaus Blaum
1217546,Boris Teddy Gaensicke
1216182,Benny Pinkas
1212550,Olivier Bertrand
1215767,Stéphane Pierre Alain Bordas
1209771,Simon Goldhill
1211507,Benedetta Mennucci
1210139,Christine Johanna Maria Selhuber-Unkel
1212758,Henry James Snaith
1217143,Kevin Hjortshøj O'rourke
1214148,Johannes Alfonsius Maria Kuipers
1215107,Michael Brown
1211140,Andreas Aleman
1215200,Christopher Richards
1215564,Jean-Paul Blaizot
1216143,Bruno Anton Kyewski
1209565,Roland Von Glasow
1213229,Ehud Cohen
1217584,Hans-Christian Friedrich-Wilhelm Behrends
1212754,Rachel Katz-Brull
1211612,""
1215483,Thijs Johannes Gerardus Ettema
1211375,Georg Woltersdorf
1213500,Alberto Miguel Martin
1217249,Sebastian Leidel
1215441,Andreas Sabelfeld
1214201,Carl Markus Maximilian Schwaiger
1212911,Guido Peter Krömer
1212384,Claes-Göran Sture Granqvist
1214399,Karine Marie Renée Dubrana
1217175,Armin Wolfgang Knoll
1214691,Evgeny Epelbaum
1215223,Bjoern Christian Rost
1209321,Athina Markaki
1210768,Giorgio Parisi
1214208,Daniel Senkowski
1213913,Aikaterini Aifanti
1216505,Daniel Sturm
1215660,Giacinto Scoles
1217592,Einav Gross
1212924,Michal Eisenbach-Schwartz
1215976,Andrea Rinaldo
1216309,Antonius Martinus Van Oijen
1213986,Nedjeljka Zagar
1215311,Pieter Gijsbertus Klandermans
1217334,Jong Min Kim
1215262,Thomas Ebbesen
1210779,Edit TSHUVA (GOLDBERG)
1215648,Giovanni Modugno
1216070,Giovanni Bussi
1214790,Ola Nils Anders Svensson
1213990,Ariel Rubinstein
1212912,Kaan Boztug
1215546,Antonio Acín
1212777,Sebastian Sobek
1213678,Véronique Geneviève Izard
1209451,James Robert Brockmole
1211919,Darryl Holm
1217323,Björn Hof
1212319,Daniel Faraco Hurtado
1213773,Thomas Rudolf Elbert
1214573,Thomas Mrsic-Flogel
1212575,Richard Miles
1213048,Esther Neline Marielle Nolte
1216685,Jasper J. Van Thor
1213668,Hans Pol S Van Oosterwyck
1209698,Botond Koszegi
1216964,Robert Staszewski
1217004,Javier Fernandez De Bobadilla
1216496,Robert Mullins
1212168,Jenny Andersson
1215596,Angelos Michaelides
1214236,Oliver Bruce Linton
1209821,Nicolas Winssinger
1210893,Mark Charles Wyatt
1214358,Itamar Willner
1217400,Fabrizio Carbone
1217137,Paola Goatin
1211119,Giuseppe Testa
1212259,"Elisabeth, Anne Herniou"
1214430,"Alan, Jacques, Henri, Cyrus Carleton"
1214688,Andreas Herrmann
1211974,Thomas Chaney
1216269,Laurens Julien Henri Cherchye
1216710,Iosif Lucian Razvan Bena
1213442,Tom Luedde
1209925,Laoise Maria Cunningham
1215167,Cyril Zipfel
1212335,Rosalind Rickaby
1209212,John Adrian Pyle
1215367,Leeor Kronik
1216592,Juan Carlos Garavaglia
1215265,Arthur Helmut Scherf
1211093,Barak Weiss
1217672,Markus Schubert
1215205,Debbie Lindell
1212918,Adrian Liston
1216301,Dan Oron
1211563,Vittoria Colizza
1212504,Nicolas Reyes Garcia
1216354,Denys Makarov
1213130,Michel Crucifix
1214597,Mordechai Segev
1209274,Johan Meyers
1213137,Vassili Soumelis
1209415,Thomas Anthopoulos
1211175,Kristian Helin
1215431,Oliver Schilling
1217370,Mathieu Pernot
1215861,"Raphaël, Florent Chaffrey Margueron"
1213764,Peter Erik Renaat Van Nuffelen
1215284,François Paul P Maniquet
1210477,Jed Oliver Kaplan
1217154,Marco Henk Dammes Van Leeuwen
1215492,Frans VAN DER HELM
1215453,Martin Anton Fussenegger
1211528,Richard Cordaux
1211296,Zvy DUBINSKY
1211081,Matthew John Neale
1216831,Frank Keller
1210447,Tamás Vicsek
1216056,Stefan Hild
1212629,Liv Hornekaer
1210586,Henk Wymeersch
1216806,Kenneth Ruud
1215930,Jan Krzysztof Obloj
1214827,Michael Ian Friswell
1213196,Pieter Vermeesch
1215183,Niko Geldner
1210466,Sarah Louise Bridle
1215421,Lars Göran Yngve Klareskog
1212888,Malin Parmar
1217188,Zsuzsanna Izsvák
1212361,Nico Luc Marc Callewaert
1215894,Sebastian Van Strien
1217166,Robbie Joseph Loewith
1213064,Sriram Subramanian
1216343,Edit Tshuva (Goldberg)
1210273,Herman Steven Overkleeft
1211387,Mauro Nisoli
1214820,Maria Gabriella Campadelli
1211060,"Irma Ploeg, Van Der"
1211091,Alexander Balatsky
1209355,Roberto CHIARLE
1212973,Séverine Dusollier
1216500,Philippe Igor Henri Bastiaens
1209660,Rut Carballido Lopez
1211666,Claudio Michelacci
1210143,Luis Serrano
1210287,Walter Salzburger
1217025,Rainer Hillenbrand
1213814,Matthew James Gaunt
1214475,Mika Antero Sillanpää
1213605,Kevin Morris Shakesheff
1213318,Maarit Johanna Karppinen
1209876,Anna Marciniak-Czochra
1214916,Xavier Dominique Etienne Crispin
1215555,Sandro Stringari
1209300,Jan Rudolf Van Ommen
1211071,Samira Hassani
1211764,Felicity Clare Jones
1215764,Martin Lövdén
1215271,Nathalie Marie-Thérèse De Geyter
1215839,Paul Hermann Schmid
1209392,Yihai Cao
1209626,Spyridon Pandis
1213426,Marc Hooghe
1216897,Fabrizio Catanese
1213676,Thierry Coquand
1214188,Hector Gómez Díaz
1213624,Joachim Wittbrodt
1212086,Wendy Bickmore
1215257,Emmanouil Tsakiris
1211427,Manuel António Moreira Alves
1214462,Stefan Bilbao
1211190,Vitor Manuel Dos Santos Cardoso
1212947,Eicke Latz
1215450,Klaus Scherer
1217548,Bharathram Ganapathisubramani
1213927,Thomas Welton
1209753,Stephen Byram Furber
1211299,Ehud Itzhak Qimron
1212195,Göran Arnqvist
1209742,Nuria Lopez
1213163,Andreas Winter
1214851,Tim Liedl
1214968,Heather Marie Stoll
1215365,Dimitra-Isidora Mema Roussopoulou
1212501,Manuel Salmerón Sánchez
1216067,Fritz VOLLRATH
1212876,Vanessa Evelyne Richard
1212668,Stefano Ragazzi
1212205,Yadvinder Singh Malhi
1215899,Thomas Winfried Menko Pogge
1216253,Marie Balasse
1217049,Eiliv Lund
1212064,Barbara Rossi
1213725,Madelon Maria Maurice
1210792,Niels Gerbrand Deen
1211763,Eric Pierre Bapteste
1215392,Andre Philippe J Mouraux
1217382,Luc S. J. Van Gool
1209225,Sarel-Jacob Fleishman
1214393,Thimo Kasimir Kurz
1214537,Rembertus Abraham Duine
1210233,Frantisek Stepanek
1216361,Jean-Philippe Vert
1210849,David Holcman
1212080,Luigina Romani
1216057,Rüdiger Heinrich Westermann
1209324,Matthias Warstat
1214722,Koen De Temmerman
1209431,Sara Evans
1212077,Peter JACKSON
1212945,Frank Daniel Mckeon
1215823,Elly Margaret Tanaka
1209907,Trond Helge Torsvik
1209343,Matthew Pudan Juniper
1216495,Bram Kris Vanderborght
1212131,Per-Simon Kildal
1212164,Frans Jacobus Dekker
1209883,Irene Miguel-Aliaga
1215911,Debra Fern LAEFER
1215796,Ludovic Patrick Vallier
